feature,importance_mean,importance_std,cv,score
4.37_eucl_dist_Uterus_Vagina_min,0.057630684835406,0.0414340354676229,0.7189578757740113,0.03352652537192402
4.20_eucl_dist_Bladder_Urethra_std,0.022693281630385,0.0105014582701441,0.46275624558975226,0.015514055536461272
4.15_eucl_dist_Anus_Uterus_mean,0.0258969954251803,0.0180740554583904,0.697920915678721,0.015252179996162143
4.15_eucl_dist_Anus_Uterus_max,0.0237426309838592,0.0205303166053037,0.8647026420348297,0.012732663347304747
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.0192268663636643,0.0209810750910608,1.0912373136099993,0.009194014585783146
4.15_eucl_dist_Anus_Uterus_min,0.015763710408645,0.0143891911104332,0.912804779117055,0.008241149635730981
4.30_eucl_dist_Pubis_Uterus_std,0.011495636500929,0.0075993909875185,0.6610673820311722,0.006920632254467609
4.26_eucl_dist_Levator ani muscle_Uterus_min,0.0144490924346625,0.0168936030482997,1.1691808295579964,0.006661082486888252
4.12_eucl_dist_Anus_Pubis_min,0.0106733849697833,0.008366202443294,0.7838377125102558,0.005983383406982397
4.30_eucl_dist_Pubis_Uterus_min,0.0081954664898355,0.0057262932640896,0.6987146579730424,0.004824510373987458
4.28_eucl_dist_Pubis_Rectum_std,0.0049606217731361,0.001451328522359,0.2925698221236588,0.0038377979187119867
4.35_eucl_dist_Urethra_Uterus_mean,0.0059091416961836,0.0049820736298393,0.8431127637274617,0.0032060662876823177
4.21_eucl_dist_Bladder_Uterus_min,0.0066779635473936,0.0077758026952042,1.1643971213113258,0.003085368891706748
4.15_eucl_dist_Anus_Uterus_std,0.0058670495537457,0.0056287375095588,0.9593811162859752,0.002994338112672407
4.29_eucl_dist_Pubis_Urethra_mean,0.006167424037324,0.0070462090717423,1.1424879960599565,0.002878627114208302
4.14_eucl_dist_Anus_Urethra_std,0.0058926205615139,0.0065496985757371,1.1115084359930263,0.002790716087640278
4.28_eucl_dist_Pubis_Rectum_min,0.0038017541877298,0.0016449698832354,0.43268695694676906,0.002653583303244278
4.27_eucl_dist_Levator ani muscle_Vagina_mean,0.0070467834317142,0.0126453003642225,1.7944781037024577,0.0025216813910181584
4.18_eucl_dist_Bladder_Pubis_mean,0.0025257884833402,0.0001254176713923,0.04965483949455792,0.0024063038518037485
4.12_eucl_dist_Anus_Pubis_max,0.0039625977781831,0.0034552410137165,0.8719633773522663,0.002116813729437303
4.18_eucl_dist_Bladder_Pubis_min,0.0030723927232133,0.0015744419652088,0.5124479825984513,0.002031403895249869
4.35_eucl_dist_Urethra_Uterus_min,0.0052560745693957,0.0098632850818611,1.8765493287980064,0.0018272151695003266
4.33_eucl_dist_Rectum_Uterus_max,0.0027937505600982,0.0014825392964082,0.5306625390684665,0.0018251903922587834
4.14_eucl_dist_Anus_Urethra_min,0.0037503013468699,0.0043058128366777,1.148124187979522,0.001745849410316147
4.24_eucl_dist_Levator ani muscle_Rectum_std,0.0046416430237077,0.0083337817600468,1.795437503927726,0.0016604352689645057
4.27_eucl_dist_Levator ani muscle_Vagina_min,0.0031808953246745,0.0032319299804149,1.0160437972607053,0.0015777907846032582
4.37_eucl_dist_Uterus_Vagina_mean,0.0025938736558151,0.0017851811321278,0.6882295287961107,0.0015364460883851565
