feature,importance_mean,importance_std,cv,score
4.25_eucl_dist_Levator ani muscle_Urethra_max,0.0886375464542396,0.1362040316010882,1.5366403461400542,0.03494289073700072
4.10_eucl_dist_Anus_Bladder_min,0.0515359218386951,0.0728432553390504,1.4134462201646452,0.021353664899638542
4.31_eucl_dist_Pubis_Vagina_max,0.0404571455355081,0.0447542572195462,1.1062138843693943,0.019208469679052126
4.12_eucl_dist_Anus_Pubis_mean,0.0311065932731501,0.0292809837068849,0.9413111396820131,0.016023497025956058
4.32_eucl_dist_Rectum_Urethra_max,0.0277140915127146,0.0207248685283426,0.7478097476521917,0.015856469246691495
4.36_eucl_dist_Urethra_Vagina_max,0.0323070083062705,0.0379135853989009,1.1735405477950636,0.01486377069847819
4.11_eucl_dist_Anus_Levator ani muscle_max,0.0251728496317029,0.0187588391038645,0.7452012240615873,0.014424038491743896
4.23_eucl_dist_Levator ani muscle_Pubis_max,0.0192002433353203,0.015080750710042,0.7854457707238558,0.01075375329239831
4.35_eucl_dist_Urethra_Uterus_min,0.0229411408877552,0.0410093003655497,1.7875875824401901,0.008229747123379368
4.25_eucl_dist_Levator ani muscle_Urethra_std,0.0206825141363393,0.0340286122023043,1.6452840468379897,0.007818636399770342
4.19_eucl_dist_Bladder_Rectum_mean,0.021850863843611,0.0420408191124198,1.9239887946454517,0.0074729642889279696
4.29_eucl_dist_Pubis_Urethra_max,0.0140843944401796,0.0181145643426187,1.2861442594079644,0.006160763644822217
4.24_eucl_dist_Levator ani muscle_Rectum_min,0.0140387416357578,0.0238227229070979,1.696927105595591,0.005205458318332069
4.11_eucl_dist_Anus_Levator ani muscle_mean,0.0099493910195656,0.0099985807068659,1.0049438887525561,0.0049624286621586956
4.23_eucl_dist_Levator ani muscle_Pubis_min,0.0088536862507797,0.0084442863492299,0.9537592767901594,0.00453161571947874
4.24_eucl_dist_Levator ani muscle_Rectum_max,0.0094019730760014,0.0107286102696152,1.141101877423811,0.004391184359388785
4.30_eucl_dist_Pubis_Uterus_min,0.0117242844306349,0.0209054196228835,1.7830868880297652,0.004212690764726678
4.14_eucl_dist_Anus_Urethra_max,0.0069994086748688,0.004789204937162,0.6842298364614257,0.004155851252210677
4.30_eucl_dist_Pubis_Uterus_mean,0.0067898661205977,0.0050771632199617,0.7477559029925119,0.0038849052713665986
4.27_eucl_dist_Levator ani muscle_Vagina_max,0.01179684142895,0.0251861378353948,2.1349897641751023,0.003762960110351128
4.15_eucl_dist_Anus_Uterus_max,0.0061363865553435,0.0038773047892243,0.6318546138514319,0.003760375773219569
4.33_eucl_dist_Rectum_Uterus_mean,0.0118139872332749,0.0270025696936766,2.2856438622159816,0.0035956383980420294
4.32_eucl_dist_Rectum_Urethra_std,0.0064364196795392,0.0052262046886364,0.8119737582178295,0.003552159434069152
4.34_eucl_dist_Rectum_Vagina_std,0.0060393061028855,0.0043377820475586,0.7182582328833826,0.003514783742808573
4.16_eucl_dist_Anus_Vagina_min,0.0064771822658746,0.0068601491020889,1.0591253667673688,0.003145598791803124
4.37_eucl_dist_Uterus_Vagina_mean,0.008231253873715,0.0163421087739971,1.985372707408517,0.0027571947225511497
4.18_eucl_dist_Bladder_Pubis_min,0.0059605224737364,0.0072045269447696,1.2087070836168332,0.0026986477826547476
4.34_eucl_dist_Rectum_Vagina_max,0.007356225954915,0.0127413571058698,1.7320505721152026,0.0026925658075281082
4.11_eucl_dist_Anus_Levator ani muscle_min,0.0060626826795283,0.0076182792174724,1.256585304490953,0.002686662306744011
4.26_eucl_dist_Levator ani muscle_Uterus_mean,0.0068041338944967,0.0115568912023544,1.6985100062760086,0.0025214410466042796
4.33_eucl_dist_Rectum_Uterus_max,0.0068500774152098,0.0123211540092611,1.7986880240528946,0.002447603075561785
4.22_eucl_dist_Bladder_Vagina_min,0.005481942004442,0.0070222431106674,1.2809770376994616,0.002403330640264119
4.13_eucl_dist_Anus_Rectum_mean,0.0046715597949975,0.0045606836365733,0.9762655002707165,0.002363832083471361
4.31_eucl_dist_Pubis_Vagina_mean,0.005664079003514,0.0083283606099126,1.4703818810372873,0.002292794910370583
4.20_eucl_dist_Bladder_Urethra_min,0.007571383088219,0.0179363760665442,2.3689692475716595,0.0022473886022190393
4.17_eucl_dist_Bladder_Levator ani muscle_min,0.0058238890580403,0.0099599277016999,1.7101847051438586,0.00214889009113907
4.19_eucl_dist_Bladder_Rectum_max,0.0052983385339035,0.0081993107978216,1.5475246056533558,0.0020797987670641755
4.18_eucl_dist_Bladder_Pubis_max,0.0044502607315432,0.0057811688258588,1.2990626562213647,0.0019356848407330698
4.30_eucl_dist_Pubis_Uterus_max,0.0036103484138521,0.0049106884468697,1.3601698572521794,0.00152969855231328
4.30_eucl_dist_Pubis_Uterus_std,0.0029597830846988,0.003623014047945,1.2240805221823108,0.001330789535351267
4.13_eucl_dist_Anus_Rectum_min,0.0019384277278769,0.0008959697408238,0.4622144358153047,0.0013256795175846197
4.21_eucl_dist_Bladder_Uterus_min,0.0031310324143499,0.0051804124259173,1.6545375728584855,0.0011795020143483262
4.34_eucl_dist_Rectum_Vagina_min,0.0025469725762602,0.003057150886393,1.2003072646249866,0.0011575531368771344
4.32_eucl_dist_Rectum_Urethra_mean,0.0029719975465775,0.0051476507506423,1.7320502247789598,0.0010878268340831668
4.21_eucl_dist_Bladder_Uterus_mean,0.0019153029435081,0.0016690627756219,0.871434939232057,0.0010234408385546357
4.31_eucl_dist_Pubis_Vagina_min,0.0022295451787447,0.0031112812917875,1.3954773942108896,0.0009307310451489982
4.19_eucl_dist_Bladder_Rectum_std,0.0020164980297969,0.0024373945741583,1.2087258848836602,0.0009129688946906668
4.35_eucl_dist_Urethra_Uterus_max,0.0015870303289495,0.0016710193881079,1.0529214878284692,0.0007730594366900131
4.18_eucl_dist_Bladder_Pubis_mean,0.0017313724166524,0.0022533025990553,1.3014538500955197,0.0007522950836405175
4.37_eucl_dist_Uterus_Vagina_std,0.0022442137086644,0.0045013049721896,2.0057372206015276,0.0007466433503509243
4.23_eucl_dist_Levator ani muscle_Pubis_mean,0.001366400110625,0.0014758826901157,1.0801240416444207,0.0006568839565667471
4.29_eucl_dist_Pubis_Urethra_min,0.0017896603677141,0.0031421937804311,1.755747672222798,0.00064942824256132
4.25_eucl_dist_Levator ani muscle_Urethra_mean,0.0015045156730385,0.0020167231656335,1.3404458732654358,0.0006428329277871188
4.26_eucl_dist_Levator ani muscle_Uterus_max,0.0030402314403114,0.0125871386999132,4.140189589788057,0.0005914628998026426
4.27_eucl_dist_Levator ani muscle_Vagina_std,0.0008477736886922,0.0007888626627827,0.9305098079769529,0.0004391449787973939
4.10_eucl_dist_Anus_Bladder_mean,0.0011190073331891,0.002369332593987,2.1173502678345195,0.0003589610525115688
4.13_eucl_dist_Anus_Rectum_std,0.0008119316109938,0.0010252466991964,1.2627238828866658,0.00035882929293077503
4.33_eucl_dist_Rectum_Uterus_std,0.0008975074062575,0.0016121511668698,1.7962518853636953,0.0003209680111277835
4.12_eucl_dist_Anus_Pubis_std,0.0006565142389082,0.0008251087370036,1.2568005860393656,0.0002909048513056122
4.16_eucl_dist_Anus_Vagina_std,0.0006960507265614,0.0010506165914257,1.5093944190267345,0.000277377968677942
4.29_eucl_dist_Pubis_Urethra_mean,0.0005132554507537,0.0005075737272012,0.9889281010610677,0.00025805631208080613
4.37_eucl_dist_Uterus_Vagina_max,0.0006555491679978,0.0011354444658318,1.732048165435922,0.00023994788096761148
4.27_eucl_dist_Levator ani muscle_Vagina_min,0.0006784947579103,0.0012538049686807,1.8479186554419964,0.00023824232360491972
4.10_eucl_dist_Anus_Bladder_max,0.0005943403010578,0.0011283641808321,1.89851214920426,0.00020505013277966305
4.35_eucl_dist_Urethra_Uterus_mean,0.0007360487914791,0.0019900112931405,2.7036367867743714,0.00019873676438994197
4.22_eucl_dist_Bladder_Vagina_mean,0.000610442197661,0.0013353874395986,2.187570350059313,0.00019150705102073781
1.4_frame_conf_min_std,0.0004837514467945,0.0008378820840831,1.7320472271203535,0.0001770655506948854
1.4_frame_conf_min_mean,0.0004220855057605,0.0007310735411156,1.7320467040242815,0.0001544942497281513
4.36_eucl_dist_Urethra_Vagina_std,0.00064549611926,0.0023333099375098,3.6147488004047394,0.00013987676191678868
4.15_eucl_dist_Anus_Uterus_std,0.0003924052347686,0.0007356449286327,1.8747024472394178,0.00013650290489905398
4.22_eucl_dist_Bladder_Vagina_std,0.0003344360131841,0.0005792601667157,1.7320456285645345,0.0001224123088163131
4.28_eucl_dist_Pubis_Rectum_min,0.0002184964019254,0.0003784468694058,1.7320428804687136,7.997546579060809e-05
4.28_eucl_dist_Pubis_Rectum_mean,0.0003473447194316,0.0012145283678439,3.4965980574954725,7.724611250334103e-05
4.16_eucl_dist_Anus_Vagina_mean,0.0003760435546743,0.0014876629949155,3.9560817366548386,7.587517209272554e-05
4.36_eucl_dist_Urethra_Vagina_mean,0.0001370057509707,0.0001541590788785,1.1251933046092608,6.446743017378833e-05
4.32_eucl_dist_Rectum_Urethra_min,0.0001840120665399,0.0003562854417454,1.9361964258562354,6.267021678777486e-05
4.14_eucl_dist_Anus_Urethra_mean,0.0001854795975767,0.0004161811575119,2.243798882197372,5.717974643700932e-05
4.12_eucl_dist_Anus_Pubis_max,0.0007558771157554,0.0111201331448408,14.71154265886862,4.810966893366984e-05
4.21_eucl_dist_Bladder_Uterus_max,9.775464008044223e-05,0.0001693160032949,1.732033089400994,3.578091365718971e-05
1.4_frame_conf_min_min,8.022735059573702e-05,0.0001389578473884,1.7320292185563593,2.9365480446116977e-05
4.33_eucl_dist_Rectum_Uterus_min,0.0002863789715878,0.0025869112295763,9.033142978656906,2.854329617319341e-05
4.26_eucl_dist_Levator ani muscle_Uterus_std,0.000108960772649,0.0003175056040481,2.9139173889074383,2.7839313358480507e-05
